Index,Permutaion,MAE,MSE,RMSE
0,"(3, 3, 3, 3, 3)",14.2815,330.0296,18.1667
1,"(3, 3, 3, 3, 6)",13.6642,315.0224,17.7489
2,"(3, 3, 3, 3, 10)",13.0677,270.0752,16.434
3,"(3, 3, 3, 3, 12)",12.4812,240.406,15.505
4,"(3, 3, 3, 6, 3)",13.5896,303.5448,17.4225
5,"(3, 3, 3, 6, 6)",13.209,289.806,17.0237
6,"(3, 3, 3, 6, 10)",12.1353,233.8496,15.2921
7,"(3, 3, 3, 6, 12)",12.5113,239.1128,15.4633
8,"(3, 3, 3, 10, 3)",12.2105,235.2481,15.3378
9,"(3, 3, 3, 10, 6)",12.1805,224.1053,14.9701
10,"(3, 3, 3, 10, 10)",11.0977,195.1729,13.9704
11,"(3, 3, 3, 10, 12)",11.4737,201.9098,14.2095
12,"(3, 3, 3, 12, 3)",12.0977,228.5038,15.1163
13,"(3, 3, 3, 12, 6)",12.1053,234.9925,15.3295
14,"(3, 3, 3, 12, 10)",10.7218,176.6917,13.2925
15,"(3, 3, 3, 12, 12)",11.0526,191.7444,13.8472
16,"(3, 3, 6, 3, 3)",14.2985,359.3433,18.9564
17,"(3, 3, 6, 3, 6)",13.9627,366.6045,19.1469
18,"(3, 3, 6, 3, 10)",13.1429,281.2331,16.77
19,"(3, 3, 6, 3, 12)",12.6241,258.9248,16.0911
20,"(3, 3, 6, 6, 3)",12.6493,279.1716,16.7084
21,"(3, 3, 6, 6, 6)",12.6194,280.1567,16.7379
22,"(3, 3, 6, 6, 10)",12.4737,248.3233,15.7583
23,"(3, 3, 6, 6, 12)",12.5263,235.7293,15.3535
24,"(3, 3, 6, 10, 3)",12.4211,247.4737,15.7313
25,"(3, 3, 6, 10, 6)",11.9774,222.7895,14.9261
26,"(3, 3, 6, 10, 10)",11.188,198.7519,14.0979
27,"(3, 3, 6, 10, 12)",11.3534,187.3233,13.6866
28,"(3, 3, 6, 12, 3)",12.4361,241.2782,15.5331
29,"(3, 3, 6, 12, 6)",12.188,233.0301,15.2653
30,"(3, 3, 6, 12, 10)",10.9474,183.0977,13.5314
31,"(3, 3, 6, 12, 12)",10.9549,186.7293,13.6649
32,"(3, 3, 10, 3, 3)",14.0752,317.9699,17.8317
33,"(3, 3, 10, 3, 6)",13.2256,295.6316,17.1939
34,"(3, 3, 10, 3, 10)",12.7143,268.6842,16.3916
35,"(3, 3, 10, 3, 12)",12.1429,238.218,15.4343
36,"(3, 3, 10, 6, 3)",12.985,269.5263,16.4173
37,"(3, 3, 10, 6, 6)",12.9774,268.8722,16.3973
38,"(3, 3, 10, 6, 10)",12.6917,271.4286,16.4751
39,"(3, 3, 10, 6, 12)",12.0977,228.4737,15.1153
40,"(3, 3, 10, 10, 3)",12.1504,242.4511,15.5708
41,"(3, 3, 10, 10, 6)",11.782,220.4887,14.8489
42,"(3, 3, 10, 10, 10)",11.1353,203.6917,14.2721
43,"(3, 3, 10, 10, 12)",11.3008,192.3835,13.8702
44,"(3, 3, 10, 12, 3)",11.7744,223.5188,14.9505
45,"(3, 3, 10, 12, 6)",11.6466,220.0677,14.8347
46,"(3, 3, 10, 12, 10)",10.782,177.7143,13.331
47,"(3, 3, 10, 12, 12)",10.7368,179.218,13.3872
48,"(3, 3, 12, 3, 3)",13.218,278.2105,16.6796
49,"(3, 3, 12, 3, 6)",12.9925,281.1278,16.7669
50,"(3, 3, 12, 3, 10)",12.2481,240.3534,15.5033
51,"(3, 3, 12, 3, 12)",12.4135,243.3609,15.6
52,"(3, 3, 12, 6, 3)",13.1053,278.203,16.6794
53,"(3, 3, 12, 6, 6)",12.9624,272.015,16.4929
54,"(3, 3, 12, 6, 10)",12.4286,244.9098,15.6496
55,"(3, 3, 12, 6, 12)",12.1504,234.0451,15.2985
56,"(3, 3, 12, 10, 3)",11.9323,227.9925,15.0994
57,"(3, 3, 12, 10, 6)",11.7218,220.0677,14.8347
58,"(3, 3, 12, 10, 10)",10.9774,188.1805,13.7179
59,"(3, 3, 12, 10, 12)",11.3233,193.3985,13.9068
60,"(3, 3, 12, 12, 3)",12.0376,231.4812,15.2145
61,"(3, 3, 12, 12, 6)",11.7143,218.2256,14.7725
62,"(3, 3, 12, 12, 10)",11.0977,184.1203,13.5691
63,"(3, 3, 12, 12, 12)",11.0075,185.3985,13.6161
64,"(3, 6, 3, 3, 3)",13.9254,308.3284,17.5593
65,"(3, 6, 3, 3, 6)",12.9552,294.4627,17.1599
66,"(3, 6, 3, 3, 10)",12.9474,262.3459,16.1971
67,"(3, 6, 3, 3, 12)",12.0526,224.4887,14.9829
68,"(3, 6, 3, 6, 3)",13.0672,289.0224,17.0007
69,"(3, 6, 3, 6, 6)",13.0224,290.6194,17.0476
70,"(3, 6, 3, 6, 10)",11.7068,217.797,14.7579
71,"(3, 6, 3, 6, 12)",12.3684,231.782,15.2244
72,"(3, 6, 3, 10, 3)",11.8346,225.9699,15.0323
73,"(3, 6, 3, 10, 6)",11.3759,200.2932,14.1525
74,"(3, 6, 3, 10, 10)",10.609,182.1128,13.4949
75,"(3, 6, 3, 10, 12)",11.1579,188.3308,13.7234
76,"(3, 6, 3, 12, 3)",11.8797,222.1353,14.9042
77,"(3, 6, 3, 12, 6)",11.3835,205.4586,14.3338
78,"(3, 6, 3, 12, 10)",10.7594,174.8947,13.2248
79,"(3, 6, 3, 12, 12)",10.9023,183.5188,13.5469
80,"(3, 6, 6, 3, 3)",14.1343,336.9552,18.3563
81,"(3, 6, 6, 3, 6)",13.291,311.2313,17.6418
82,"(3, 6, 6, 3, 10)",13.2406,286.5789,16.9286
83,"(3, 6, 6, 3, 12)",12.2105,232.7218,15.2552
84,"(3, 6, 6, 6, 3)",12.8881,285.1119,16.8853
85,"(3, 6, 6, 6, 6)",12.806,284.8507,16.8775
86,"(3, 6, 6, 6, 10)",11.9549,224.2857,14.9762
87,"(3, 6, 6, 6, 12)",12.0451,223.4887,14.9495
88,"(3, 6, 6, 10, 3)",11.782,227.8421,15.0944
89,"(3, 6, 6, 10, 6)",11.4135,204.6617,14.306
90,"(3, 6, 6, 10, 10)",10.6842,189.8271,13.7778
91,"(3, 6, 6, 10, 12)",10.9774,180.5714,13.4377
92,"(3, 6, 6, 12, 3)",11.8797,223.7594,14.9586
93,"(3, 6, 6, 12, 6)",11.3534,204.782,14.3102
94,"(3, 6, 6, 12, 10)",10.2406,161.6692,12.7149
95,"(3, 6, 6, 12, 12)",10.782,180.5865,13.4382
96,"(3, 6, 10, 3, 3)",13.9398,318.4361,17.8448
97,"(3, 6, 10, 3, 6)",13.1128,286.2707,16.9195
98,"(3, 6, 10, 3, 10)",12.8722,271.7744,16.4856
99,"(3, 6, 10, 3, 12)",12.0301,232.1805,15.2375
100,"(3, 6, 10, 6, 3)",12.797,260.2256,16.1315
101,"(3, 6, 10, 6, 6)",12.8346,268.5489,16.3875
102,"(3, 6, 10, 6, 10)",12.1053,251.3083,15.8527
103,"(3, 6, 10, 6, 12)",11.9248,234.3759,15.3093
104,"(3, 6, 10, 10, 3)",11.5263,220.3383,14.8438
105,"(3, 6, 10, 10, 6)",11.0301,198.0827,14.0742
106,"(3, 6, 10, 10, 10)",10.5113,180.8872,13.4494
107,"(3, 6, 10, 10, 12)",11.3083,190.3308,13.796
108,"(3, 6, 10, 12, 3)",11.6617,207.4962,14.4047
109,"(3, 6, 10, 12, 6)",11.0752,195.4211,13.9793
110,"(3, 6, 10, 12, 10)",10.1128,159.6767,12.6363
111,"(3, 6, 10, 12, 12)",10.6541,177.6015,13.3267
112,"(3, 6, 12, 3, 3)",13.5188,281.8346,16.7879
113,"(3, 6, 12, 3, 6)",12.9173,268.7368,16.3932
114,"(3, 6, 12, 3, 10)",12.4887,237.3308,15.4055
115,"(3, 6, 12, 3, 12)",12.3609,240.4361,15.506
116,"(3, 6, 12, 6, 3)",13.2105,265.1353,16.283
117,"(3, 6, 12, 6, 6)",12.5338,250.5789,15.8297
118,"(3, 6, 12, 6, 10)",12.2782,234.0075,15.2973
119,"(3, 6, 12, 6, 12)",12.0226,239.9173,15.4893
120,"(3, 6, 12, 10, 3)",11.9774,215.6767,14.6859
121,"(3, 6, 12, 10, 6)",11.7293,210.797,14.5188
122,"(3, 6, 12, 10, 10)",10.8195,177.5263,13.3239
123,"(3, 6, 12, 10, 12)",11.0075,186.1955,13.6453
124,"(3, 6, 12, 12, 3)",11.9398,221.8947,14.8961
125,"(3, 6, 12, 12, 6)",11.3308,202.6541,14.2357
126,"(3, 6, 12, 12, 10)",10.4962,166.9323,12.9202
127,"(3, 6, 12, 12, 12)",10.782,179.7293,13.4063
128,"(3, 10, 3, 3, 3)",13.3985,277.9248,16.6711
129,"(3, 10, 3, 3, 6)",12.6165,257.8346,16.0572
130,"(3, 10, 3, 3, 10)",12.5113,245.4286,15.6662
131,"(3, 10, 3, 3, 12)",11.7519,220.8797,14.862
132,"(3, 10, 3, 6, 3)",11.812,212.7143,14.5847
133,"(3, 10, 3, 6, 6)",11.609,211.5489,14.5447
134,"(3, 10, 3, 6, 10)",11.5338,208.1955,14.429
135,"(3, 10, 3, 6, 12)",11.9624,224.9699,14.999
136,"(3, 10, 3, 10, 3)",12.0,227.4286,15.0807
137,"(3, 10, 3, 10, 6)",11.4887,199.0677,14.1091
138,"(3, 10, 3, 10, 10)",10.8647,176.2331,13.2753
139,"(3, 10, 3, 10, 12)",11.1053,189.2105,13.7554
140,"(3, 10, 3, 12, 3)",11.5714,204.1128,14.2868
141,"(3, 10, 3, 12, 6)",11.1429,193.6391,13.9154
142,"(3, 10, 3, 12, 10)",10.0226,155.9173,12.4867
143,"(3, 10, 3, 12, 12)",10.4812,166.8271,12.9162
144,"(3, 10, 6, 3, 3)",14.1654,311.7143,17.6554
145,"(3, 10, 6, 3, 6)",13.2331,277.7143,16.6648
146,"(3, 10, 6, 3, 10)",13.2256,279.5113,16.7186
147,"(3, 10, 6, 3, 12)",11.7744,233.3383,15.2754
148,"(3, 10, 6, 6, 3)",11.8045,219.2331,14.8065
149,"(3, 10, 6, 6, 6)",12.203,227.7519,15.0915
150,"(3, 10, 6, 6, 10)",11.8195,219.4436,14.8136
151,"(3, 10, 6, 6, 12)",11.9925,214.4737,14.6449
152,"(3, 10, 6, 10, 3)",12.2105,231.9098,15.2286
153,"(3, 10, 6, 10, 6)",11.797,207.797,14.4152
154,"(3, 10, 6, 10, 10)",10.7744,183.0,13.5277
155,"(3, 10, 6, 10, 12)",10.8647,176.8496,13.2985
156,"(3, 10, 6, 12, 3)",11.203,193.3684,13.9057
157,"(3, 10, 6, 12, 6)",10.9023,184.797,13.594
158,"(3, 10, 6, 12, 10)",10.0602,154.3308,12.423
159,"(3, 10, 6, 12, 12)",10.6241,170.1579,13.0445
160,"(3, 10, 10, 3, 3)",13.6316,296.5338,17.2202
161,"(3, 10, 10, 3, 6)",12.9173,279.7895,16.7269
162,"(3, 10, 10, 3, 10)",12.594,253.0301,15.9069
163,"(3, 10, 10, 3, 12)",11.8496,243.2481,15.5964
164,"(3, 10, 10, 6, 3)",12.3459,248.8271,15.7743
165,"(3, 10, 10, 6, 6)",12.6165,251.7143,15.8655
166,"(3, 10, 10, 6, 10)",12.2932,247.0,15.7162
167,"(3, 10, 10, 6, 12)",11.812,222.218,14.907
168,"(3, 10, 10, 10, 3)",11.782,217.6316,14.7523
169,"(3, 10, 10, 10, 6)",11.2632,201.8647,14.2079
170,"(3, 10, 10, 10, 10)",10.5038,175.8872,13.2622
171,"(3, 10, 10, 10, 12)",10.5789,172.9398,13.1507
172,"(3, 10, 10, 12, 3)",11.1429,200.8872,14.1735
173,"(3, 10, 10, 12, 6)",10.5789,183.5263,13.5472
174,"(3, 10, 10, 12, 10)",9.6241,147.1729,12.1315
175,"(3, 10, 10, 12, 12)",9.9774,153.7218,12.3985
176,"(3, 10, 12, 3, 3)",13.015,286.6842,16.9318
177,"(3, 10, 12, 3, 6)",12.6992,268.4887,16.3856
178,"(3, 10, 12, 3, 10)",12.3233,244.985,15.652
179,"(3, 10, 12, 3, 12)",12.0602,229.6842,15.1553
180,"(3, 10, 12, 6, 3)",12.5113,263.0526,16.2189
181,"(3, 10, 12, 6, 6)",12.2331,251.5263,15.8596
182,"(3, 10, 12, 6, 10)",12.1203,234.6316,15.3177
183,"(3, 10, 12, 6, 12)",11.6842,214.3459,14.6406
184,"(3, 10, 12, 10, 3)",11.3383,202.4962,14.2301
185,"(3, 10, 12, 10, 6)",11.2256,195.4511,13.9804
186,"(3, 10, 12, 10, 10)",10.6767,174.7218,13.2182
187,"(3, 10, 12, 10, 12)",10.6692,177.9474,13.3397
188,"(3, 10, 12, 12, 3)",11.2481,201.2932,14.1878
189,"(3, 10, 12, 12, 6)",10.985,192.8346,13.8865
190,"(3, 10, 12, 12, 10)",9.9699,154.6165,12.4345
191,"(3, 10, 12, 12, 12)",10.406,165.8195,12.8771
192,"(3, 12, 3, 3, 3)",12.7368,276.782,16.6368
193,"(3, 12, 3, 3, 6)",12.2406,254.3308,15.9478
194,"(3, 12, 3, 3, 10)",11.218,211.7143,14.5504
195,"(3, 12, 3, 3, 12)",11.3308,217.0902,14.734
196,"(3, 12, 3, 6, 3)",12.3609,254.4662,15.952
197,"(3, 12, 3, 6, 6)",11.8045,236.9624,15.3936
198,"(3, 12, 3, 6, 10)",11.7143,214.4662,14.6447
199,"(3, 12, 3, 6, 12)",11.609,218.1654,14.7704
200,"(3, 12, 3, 10, 3)",11.6391,211.4737,14.5421
201,"(3, 12, 3, 10, 6)",10.7519,191.8947,13.8526
202,"(3, 12, 3, 10, 10)",10.0376,158.9549,12.6077
203,"(3, 12, 3, 10, 12)",10.2707,169.1429,13.0055
204,"(3, 12, 3, 12, 3)",11.1128,200.6165,14.1639
205,"(3, 12, 3, 12, 6)",11.0301,189.782,13.7761
206,"(3, 12, 3, 12, 10)",10.0602,156.5263,12.511
207,"(3, 12, 3, 12, 12)",10.2782,160.4887,12.6684
208,"(3, 12, 6, 3, 3)",13.2857,301.812,17.3727
209,"(3, 12, 6, 3, 6)",12.3534,253.1053,15.9093
210,"(3, 12, 6, 3, 10)",11.4511,220.7143,14.8565
211,"(3, 12, 6, 3, 12)",11.7218,231.5714,15.2175
212,"(3, 12, 6, 6, 3)",12.8647,257.2256,16.0383
213,"(3, 12, 6, 6, 6)",12.3008,239.5639,15.4779
214,"(3, 12, 6, 6, 10)",11.8496,212.0902,14.5633
215,"(3, 12, 6, 6, 12)",11.8872,214.0376,14.63
216,"(3, 12, 6, 10, 3)",11.4361,209.2556,14.4657
217,"(3, 12, 6, 10, 6)",10.8195,190.9098,13.817
218,"(3, 12, 6, 10, 10)",10.1353,163.8647,12.801
219,"(3, 12, 6, 10, 12)",10.4586,166.6692,12.91
220,"(3, 12, 6, 12, 3)",11.3008,204.2782,14.2926
221,"(3, 12, 6, 12, 6)",10.8271,185.9248,13.6354
222,"(3, 12, 6, 12, 10)",9.812,150.9398,12.2858
223,"(3, 12, 6, 12, 12)",10.1729,158.4737,12.5886
224,"(3, 12, 10, 3, 3)",12.9323,282.5414,16.809
225,"(3, 12, 10, 3, 6)",12.1053,243.1278,15.5926
226,"(3, 12, 10, 3, 10)",11.6165,224.6992,14.99
227,"(3, 12, 10, 3, 12)",11.7293,235.5038,15.3461
228,"(3, 12, 10, 6, 3)",12.5714,256.812,16.0254
229,"(3, 12, 10, 6, 6)",12.1429,245.6767,15.6741
230,"(3, 12, 10, 6, 10)",11.9323,224.2782,14.9759
231,"(3, 12, 10, 6, 12)",11.812,222.8797,14.9292
232,"(3, 12, 10, 10, 3)",11.0677,201.218,14.1851
233,"(3, 12, 10, 10, 6)",10.7444,187.0301,13.6759
234,"(3, 12, 10, 10, 10)",10.0226,161.2256,12.6975
235,"(3, 12, 10, 10, 12)",10.1729,162.5639,12.7501
236,"(3, 12, 10, 12, 3)",11.0301,194.0526,13.9303
237,"(3, 12, 10, 12, 6)",10.8421,187.0075,13.6751
238,"(3, 12, 10, 12, 10)",9.7293,151.0226,12.2891
239,"(3, 12, 10, 12, 12)",9.7744,151.0977,12.2922
240,"(3, 12, 12, 3, 3)",12.5038,266.8647,16.336
241,"(3, 12, 12, 3, 6)",12.5414,258.4361,16.0759
242,"(3, 12, 12, 3, 10)",11.6617,214.9549,14.6613
243,"(3, 12, 12, 3, 12)",11.8722,236.4436,15.3767
244,"(3, 12, 12, 6, 3)",12.3459,243.7444,15.6123
245,"(3, 12, 12, 6, 6)",12.1053,242.1955,15.5626
246,"(3, 12, 12, 6, 10)",11.9023,221.1955,14.8726
247,"(3, 12, 12, 6, 12)",11.6842,216.7218,14.7215
248,"(3, 12, 12, 10, 3)",11.5639,213.5188,14.6123
249,"(3, 12, 12, 10, 6)",10.8571,192.6767,13.8808
250,"(3, 12, 12, 10, 10)",10.4286,171.2406,13.0859
251,"(3, 12, 12, 10, 12)",10.3383,169.1955,13.0075
252,"(3, 12, 12, 12, 3)",10.7218,185.7895,13.6305
253,"(3, 12, 12, 12, 6)",10.7895,189.5564,13.7679
254,"(3, 12, 12, 12, 10)",9.9023,150.1729,12.2545
255,"(3, 12, 12, 12, 12)",10.0602,155.8947,12.4858
256,"(6, 3, 3, 3, 3)",13.8209,324.3284,18.0091
257,"(6, 3, 3, 3, 6)",13.5299,327.3507,18.0928
258,"(6, 3, 3, 3, 10)",12.2331,241.7218,15.5474
259,"(6, 3, 3, 3, 12)",11.7895,222.9624,14.9319
260,"(6, 3, 3, 6, 3)",13.0149,292.7612,17.1103
261,"(6, 3, 3, 6, 6)",13.1194,293.8507,17.1421
262,"(6, 3, 3, 6, 10)",12.2256,241.1729,15.5297
263,"(6, 3, 3, 6, 12)",11.7068,219.9173,14.8296
264,"(6, 3, 3, 10, 3)",12.1579,260.1278,16.1285
265,"(6, 3, 3, 10, 6)",12.0677,239.6466,15.4805
266,"(6, 3, 3, 10, 10)",11.2782,206.4812,14.3695
267,"(6, 3, 3, 10, 12)",10.8647,186.8647,13.6698
268,"(6, 3, 3, 12, 3)",11.3459,212.7744,14.5868
269,"(6, 3, 3, 12, 6)",11.406,212.5639,14.5796
270,"(6, 3, 3, 12, 10)",10.2105,170.1203,13.043
271,"(6, 3, 3, 12, 12)",10.7368,183.9098,13.5613
272,"(6, 3, 6, 3, 3)",13.9776,360.7687,18.9939
273,"(6, 3, 6, 3, 6)",13.6119,365.4478,19.1167
274,"(6, 3, 6, 3, 10)",12.4286,258.3835,16.0743
275,"(6, 3, 6, 3, 12)",11.6391,217.3985,14.7444
276,"(6, 3, 6, 6, 3)",12.8209,286.7463,16.9336
277,"(6, 3, 6, 6, 6)",12.5746,287.0224,16.9417
278,"(6, 3, 6, 6, 10)",12.1053,231.9398,15.2296
279,"(6, 3, 6, 6, 12)",12.0226,226.2481,15.0415
280,"(6, 3, 6, 10, 3)",12.3233,262.8947,16.214
281,"(6, 3, 6, 10, 6)",11.9398,235.188,15.3358
282,"(6, 3, 6, 10, 10)",11.2632,214.5113,14.6462
283,"(6, 3, 6, 10, 12)",11.0301,182.0075,13.491
284,"(6, 3, 6, 12, 3)",11.5789,214.391,14.6421
285,"(6, 3, 6, 12, 6)",10.8571,197.188,14.0424
286,"(6, 3, 6, 12, 10)",10.391,171.5188,13.0965
287,"(6, 3, 6, 12, 12)",10.6466,180.3158,13.4282
288,"(6, 3, 10, 3, 3)",13.0526,295.4887,17.1898
289,"(6, 3, 10, 3, 6)",12.6541,287.3158,16.9504
290,"(6, 3, 10, 3, 10)",12.203,257.1504,16.0359
291,"(6, 3, 10, 3, 12)",11.6617,217.5263,14.7488
292,"(6, 3, 10, 6, 3)",12.6992,271.7368,16.4844
293,"(6, 3, 10, 6, 6)",13.2105,293.3759,17.1282
294,"(6, 3, 10, 6, 10)",12.4737,251.4511,15.8572
295,"(6, 3, 10, 6, 12)",11.7519,221.4511,14.8812
296,"(6, 3, 10, 10, 3)",11.7143,238.5714,15.4458
297,"(6, 3, 10, 10, 6)",11.5338,221.0677,14.8683
298,"(6, 3, 10, 10, 10)",10.9624,202.1053,14.2164
299,"(6, 3, 10, 10, 12)",11.0451,184.7744,13.5932
300,"(6, 3, 10, 12, 3)",10.7594,191.5865,13.8415
301,"(6, 3, 10, 12, 6)",11.0,199.9925,14.1419
302,"(6, 3, 10, 12, 10)",10.3083,167.015,12.9234
303,"(6, 3, 10, 12, 12)",10.4286,169.797,13.0306
304,"(6, 3, 12, 3, 3)",12.4586,260.4436,16.1383
305,"(6, 3, 12, 3, 6)",12.7519,270.9774,16.4614
306,"(6, 3, 12, 3, 10)",11.5714,221.6165,14.8868
307,"(6, 3, 12, 3, 12)",11.6617,217.0602,14.733
308,"(6, 3, 12, 6, 3)",12.4436,262.6842,16.2075
309,"(6, 3, 12, 6, 6)",12.3985,260.2782,16.1331
310,"(6, 3, 12, 6, 10)",11.812,229.0451,15.1342
311,"(6, 3, 12, 6, 12)",11.5639,214.6466,14.6508
312,"(6, 3, 12, 10, 3)",11.1955,201.9323,14.2103
313,"(6, 3, 12, 10, 6)",11.1128,204.406,14.2971
314,"(6, 3, 12, 10, 10)",10.3534,168.8647,12.9948
315,"(6, 3, 12, 10, 12)",10.6917,173.9248,13.1881
316,"(6, 3, 12, 12, 3)",11.1955,200.5038,14.1599
317,"(6, 3, 12, 12, 6)",10.8722,197.7143,14.0611
318,"(6, 3, 12, 12, 10)",10.2632,168.8496,12.9942
319,"(6, 3, 12, 12, 12)",10.4286,168.8346,12.9936
320,"(6, 6, 3, 3, 3)",13.1791,294.8657,17.1717
321,"(6, 6, 3, 3, 6)",12.7761,285.8358,16.9067
322,"(6, 6, 3, 3, 10)",12.1805,233.1128,15.268
323,"(6, 6, 3, 3, 12)",11.3609,208.3233,14.4334
324,"(6, 6, 3, 6, 3)",13.2239,288.8806,16.9965
325,"(6, 6, 3, 6, 6)",13.1493,288.7015,16.9912
326,"(6, 6, 3, 6, 10)",11.4662,221.9774,14.8989
327,"(6, 6, 3, 6, 12)",11.4436,211.8947,14.5566
328,"(6, 6, 3, 10, 3)",11.7368,250.5789,15.8297
329,"(6, 6, 3, 10, 6)",11.406,219.1203,14.8027
330,"(6, 6, 3, 10, 10)",11.1128,199.4135,14.1214
331,"(6, 6, 3, 10, 12)",10.4887,172.8195,13.1461
332,"(6, 6, 3, 12, 3)",11.0902,198.4286,14.0865
333,"(6, 6, 3, 12, 6)",10.5263,184.2556,13.5741
334,"(6, 6, 3, 12, 10)",10.0226,160.2932,12.6607
335,"(6, 6, 3, 12, 12)",10.1579,169.4211,13.0162
336,"(6, 6, 6, 3, 3)",13.2164,318.9179,17.8583
337,"(6, 6, 6, 3, 6)",13.1418,312.2015,17.6692
338,"(6, 6, 6, 3, 10)",12.1128,245.5263,15.6693
339,"(6, 6, 6, 3, 12)",11.3609,208.985,14.4563
340,"(6, 6, 6, 6, 3)",12.6194,269.6045,16.4196
341,"(6, 6, 6, 6, 6)",12.6493,274.2612,16.5608
342,"(6, 6, 6, 6, 10)",11.9774,229.6316,15.1536
343,"(6, 6, 6, 6, 12)",11.6917,218.9248,14.7961
344,"(6, 6, 6, 10, 3)",11.7519,246.188,15.6904
345,"(6, 6, 6, 10, 6)",11.2556,213.4662,14.6105
