Index,Permutaion,MAE,MSE,RMSE
687,"(10, 10, 10, 12, 12)",9.7669,145.6917,12.0703
688,"(10, 10, 12, 3, 3)",11.5489,227.7744,15.0922
689,"(10, 10, 12, 3, 6)",11.609,224.6617,14.9887
690,"(10, 10, 12, 3, 10)",10.8647,189.1353,13.7526
691,"(10, 10, 12, 3, 12)",11.0677,195.9549,13.9984
692,"(10, 10, 12, 6, 3)",11.7068,228.7895,15.1258
693,"(10, 10, 12, 6, 6)",11.4586,220.2105,14.8395
694,"(10, 10, 12, 6, 10)",11.0902,193.1654,13.8984
695,"(10, 10, 12, 6, 12)",11.1203,198.5789,14.0918
696,"(10, 10, 12, 10, 3)",10.6015,178.5564,13.3625
697,"(10, 10, 12, 10, 6)",10.3008,172.4511,13.1321
698,"(10, 10, 12, 10, 10)",10.2932,168.0977,12.9653
699,"(10, 10, 12, 10, 12)",10.1955,157.3684,12.5447
700,"(10, 10, 12, 12, 3)",10.7519,175.6992,13.2552
701,"(10, 10, 12, 12, 6)",10.0677,160.3835,12.6643
702,"(10, 10, 12, 12, 10)",9.9323,150.188,12.2551
703,"(10, 10, 12, 12, 12)",10.0376,155.1504,12.4559
704,"(10, 12, 3, 3, 3)",11.5639,229.2632,15.1414
705,"(10, 12, 3, 3, 6)",10.8947,214.9098,14.6598
706,"(10, 12, 3, 3, 10)",10.6842,185.0602,13.6037
707,"(10, 12, 3, 3, 12)",10.8947,191.6316,13.8431
708,"(10, 12, 3, 6, 3)",11.3985,218.9474,14.7969
709,"(10, 12, 3, 6, 6)",11.2707,211.1053,14.5295
710,"(10, 12, 3, 6, 10)",10.9549,196.9549,14.0341
711,"(10, 12, 3, 6, 12)",10.7744,187.5414,13.6946
712,"(10, 12, 3, 10, 3)",10.4361,182.7068,13.5169
713,"(10, 12, 3, 10, 6)",10.1579,170.9098,13.0732
714,"(10, 12, 3, 10, 10)",9.797,158.1128,12.5743
715,"(10, 12, 3, 10, 12)",9.9248,157.4586,12.5483
716,"(10, 12, 3, 12, 3)",10.391,168.2857,12.9725
717,"(10, 12, 3, 12, 6)",10.0977,168.1128,12.9658
718,"(10, 12, 3, 12, 10)",9.6391,146.5564,12.106
719,"(10, 12, 3, 12, 12)",9.8797,149.188,12.2143
720,"(10, 12, 6, 3, 3)",12.2932,252.5188,15.8908
721,"(10, 12, 6, 3, 6)",11.4737,222.9023,14.9299
722,"(10, 12, 6, 3, 10)",10.8797,197.7218,14.0614
723,"(10, 12, 6, 3, 12)",11.0526,193.188,13.8992
724,"(10, 12, 6, 6, 3)",11.4887,212.1203,14.5644
725,"(10, 12, 6, 6, 6)",11.1654,207.015,14.388
726,"(10, 12, 6, 6, 10)",10.5038,178.5338,13.3617
727,"(10, 12, 6, 6, 12)",11.1429,191.4887,13.8379
728,"(10, 12, 6, 10, 3)",10.5639,180.3534,13.4296
729,"(10, 12, 6, 10, 6)",10.1278,172.0075,13.1152
730,"(10, 12, 6, 10, 10)",10.0677,161.9023,12.7241
731,"(10, 12, 6, 10, 12)",9.8195,150.5564,12.2701
732,"(10, 12, 6, 12, 3)",10.188,166.2632,12.8943
733,"(10, 12, 6, 12, 6)",9.9474,163.9925,12.806
734,"(10, 12, 6, 12, 10)",9.2932,140.2707,11.8436
735,"(10, 12, 6, 12, 12)",9.7669,149.7669,12.2379
736,"(10, 12, 10, 3, 3)",11.7594,231.6842,15.2212
737,"(10, 12, 10, 3, 6)",11.1504,208.9549,14.4553
738,"(10, 12, 10, 3, 10)",10.6992,184.2331,13.5732
739,"(10, 12, 10, 3, 12)",10.6015,186.1955,13.6453
740,"(10, 12, 10, 6, 3)",11.7143,231.0376,15.1999
741,"(10, 12, 10, 6, 6)",11.5263,223.1053,14.9367
742,"(10, 12, 10, 6, 10)",10.7218,187.7143,13.7009
743,"(10, 12, 10, 6, 12)",11.0301,193.4361,13.9081
744,"(10, 12, 10, 10, 3)",10.4511,170.9023,13.073
745,"(10, 12, 10, 10, 6)",10.4812,177.0226,13.305
746,"(10, 12, 10, 10, 10)",10.0,159.8947,12.6449
747,"(10, 12, 10, 10, 12)",9.8045,150.8271,12.2812
748,"(10, 12, 10, 12, 3)",10.0977,160.9549,12.6868
749,"(10, 12, 10, 12, 6)",10.1353,167.3684,12.9371
750,"(10, 12, 10, 12, 10)",9.5789,143.8797,11.995
751,"(10, 12, 10, 12, 12)",9.5414,140.9549,11.8724
752,"(10, 12, 12, 3, 3)",11.7068,221.5113,14.8833
753,"(10, 12, 12, 3, 6)",11.2556,214.6992,14.6526
754,"(10, 12, 12, 3, 10)",10.9098,194.0376,13.9297
755,"(10, 12, 12, 3, 12)",10.8496,188.8195,13.7412
756,"(10, 12, 12, 6, 3)",11.6466,228.1729,15.1054
757,"(10, 12, 12, 6, 6)",11.4135,218.812,14.7923
758,"(10, 12, 12, 6, 10)",10.5639,182.3534,13.5038
759,"(10, 12, 12, 6, 12)",10.6767,187.2932,13.6855
760,"(10, 12, 12, 10, 3)",10.7594,187.3609,13.688
761,"(10, 12, 12, 10, 6)",10.2556,175.3985,13.2438
762,"(10, 12, 12, 10, 10)",10.0526,162.3233,12.7406
763,"(10, 12, 12, 10, 12)",9.9023,156.594,12.5138
764,"(10, 12, 12, 12, 3)",10.3459,164.0301,12.8074
765,"(10, 12, 12, 12, 6)",10.015,159.7293,12.6384
766,"(10, 12, 12, 12, 10)",9.6992,143.9699,11.9987
767,"(10, 12, 12, 12, 12)",9.6692,144.9624,12.04
768,"(12, 3, 3, 3, 3)",13.1278,279.594,16.7211
769,"(12, 3, 3, 3, 6)",12.2105,255.6842,15.9901
770,"(12, 3, 3, 3, 10)",11.812,228.7143,15.1233
771,"(12, 3, 3, 3, 12)",11.3383,210.7218,14.5163
772,"(12, 3, 3, 6, 3)",12.4361,253.0526,15.9076
773,"(12, 3, 3, 6, 6)",12.1805,239.2782,15.4686
774,"(12, 3, 3, 6, 10)",11.782,218.6692,14.7875
775,"(12, 3, 3, 6, 12)",11.782,215.1203,14.667
776,"(12, 3, 3, 10, 3)",11.4211,213.3759,14.6074
777,"(12, 3, 3, 10, 6)",11.4737,210.1353,14.496
778,"(12, 3, 3, 10, 10)",10.8271,186.812,13.6679
779,"(12, 3, 3, 10, 12)",11.1805,195.0902,13.9675
780,"(12, 3, 3, 12, 3)",10.8421,203.9398,14.2808
781,"(12, 3, 3, 12, 6)",10.7669,194.3308,13.9403
782,"(12, 3, 3, 12, 10)",10.2556,175.0677,13.2313
783,"(12, 3, 3, 12, 12)",10.1579,167.7669,12.9525
784,"(12, 3, 6, 3, 3)",13.2256,284.6241,16.8708
785,"(12, 3, 6, 3, 6)",11.8797,245.985,15.6839
786,"(12, 3, 6, 3, 10)",11.7444,222.6316,14.9208
787,"(12, 3, 6, 3, 12)",11.9774,227.7368,15.091
788,"(12, 3, 6, 6, 3)",12.4887,253.9925,15.9371
789,"(12, 3, 6, 6, 6)",11.8271,229.1053,15.1362
790,"(12, 3, 6, 6, 10)",11.7368,205.9774,14.3519
791,"(12, 3, 6, 6, 12)",12.0602,216.4962,14.7138
792,"(12, 3, 6, 10, 3)",11.2707,206.6241,14.3744
793,"(12, 3, 6, 10, 6)",11.391,205.7368,14.3435
794,"(12, 3, 6, 10, 10)",10.8722,186.6767,13.663
795,"(12, 3, 6, 10, 12)",10.9098,181.8722,13.486
796,"(12, 3, 6, 12, 3)",10.9098,203.6617,14.271
797,"(12, 3, 6, 12, 6)",10.4436,182.1128,13.4949
798,"(12, 3, 6, 12, 10)",10.0677,166.6842,12.9106
799,"(12, 3, 6, 12, 12)",10.3684,165.7669,12.8751
800,"(12, 3, 10, 3, 3)",12.6391,271.7519,16.4849
801,"(12, 3, 10, 3, 6)",12.0602,248.0451,15.7494
802,"(12, 3, 10, 3, 10)",12.1353,234.4211,15.3108
803,"(12, 3, 10, 3, 12)",11.9774,221.2556,14.8747
804,"(12, 3, 10, 6, 3)",12.6316,262.1203,16.1901
805,"(12, 3, 10, 6, 6)",12.3158,253.4286,15.9194
806,"(12, 3, 10, 6, 10)",11.9624,223.9774,14.9659
807,"(12, 3, 10, 6, 12)",12.0902,225.0376,15.0013
808,"(12, 3, 10, 10, 3)",10.9624,195.0526,13.9661
809,"(12, 3, 10, 10, 6)",11.4436,204.3308,14.2944
810,"(12, 3, 10, 10, 10)",11.0226,188.5414,13.731
811,"(12, 3, 10, 10, 12)",11.3534,192.7218,13.8824
812,"(12, 3, 10, 12, 3)",10.9774,201.0827,14.1804
813,"(12, 3, 10, 12, 6)",10.6692,185.4361,13.6175
814,"(12, 3, 10, 12, 10)",10.391,171.594,13.0994
815,"(12, 3, 10, 12, 12)",10.3008,165.0827,12.8485
816,"(12, 3, 12, 3, 3)",12.4286,256.8045,16.0251
817,"(12, 3, 12, 3, 6)",11.8722,241.9173,15.5537
818,"(12, 3, 12, 3, 10)",11.7519,218.9398,14.7966
819,"(12, 3, 12, 3, 12)",11.6391,211.609,14.5468
820,"(12, 3, 12, 6, 3)",12.5338,253.3008,15.9154
821,"(12, 3, 12, 6, 6)",12.1579,244.0376,15.6217
822,"(12, 3, 12, 6, 10)",11.594,208.9323,14.4545
823,"(12, 3, 12, 6, 12)",11.8195,221.6391,14.8875
824,"(12, 3, 12, 10, 3)",11.0677,201.2632,14.1867
825,"(12, 3, 12, 10, 6)",11.2256,204.3233,14.2942
826,"(12, 3, 12, 10, 10)",10.6617,181.3383,13.4662
827,"(12, 3, 12, 10, 12)",11.3008,193.3308,13.9043
828,"(12, 3, 12, 12, 3)",10.6767,196.4361,14.0156
829,"(12, 3, 12, 12, 6)",10.4436,186.9549,13.6731
830,"(12, 3, 12, 12, 10)",10.2632,169.8722,13.0335
831,"(12, 3, 12, 12, 12)",10.3233,165.3609,12.8593
832,"(12, 6, 3, 3, 3)",12.4887,255.406,15.9814
833,"(12, 6, 3, 3, 6)",12.0602,238.8722,15.4555
834,"(12, 6, 3, 3, 10)",11.609,216.6015,14.7174
835,"(12, 6, 3, 3, 12)",11.3158,206.4436,14.3681
836,"(12, 6, 3, 6, 3)",12.0075,229.797,15.1591
837,"(12, 6, 3, 6, 6)",11.7368,226.7293,15.0575
838,"(12, 6, 3, 6, 10)",11.5113,203.2556,14.2568
839,"(12, 6, 3, 6, 12)",11.6015,208.2932,14.4324
840,"(12, 6, 3, 10, 3)",10.6842,190.4737,13.8012
841,"(12, 6, 3, 10, 6)",11.1353,197.5263,14.0544
842,"(12, 6, 3, 10, 10)",10.391,174.4511,13.208
843,"(12, 6, 3, 10, 12)",10.7744,188.1278,13.716
844,"(12, 6, 3, 12, 3)",10.6241,193.1353,13.8973
845,"(12, 6, 3, 12, 6)",10.3835,181.3158,13.4654
846,"(12, 6, 3, 12, 10)",9.9098,161.3233,12.7013
847,"(12, 6, 3, 12, 12)",9.985,162.6466,12.7533
848,"(12, 6, 6, 3, 3)",12.6992,267.5865,16.3581
849,"(12, 6, 6, 3, 6)",12.0526,237.2556,15.4031
850,"(12, 6, 6, 3, 10)",11.6617,217.406,14.7447
851,"(12, 6, 6, 3, 12)",11.0226,194.0301,13.9295
852,"(12, 6, 6, 6, 3)",11.9624,230.9098,15.1957
853,"(12, 6, 6, 6, 6)",11.4211,216.9248,14.7284
854,"(12, 6, 6, 6, 10)",11.391,198.3083,14.0822
855,"(12, 6, 6, 6, 12)",11.2782,196.6617,14.0236
856,"(12, 6, 6, 10, 3)",10.7368,190.5714,13.8048
857,"(12, 6, 6, 10, 6)",10.8195,188.5639,13.7319
858,"(12, 6, 6, 10, 10)",10.2256,170.1203,13.043
859,"(12, 6, 6, 10, 12)",10.6617,180.6767,13.4416
860,"(12, 6, 6, 12, 3)",10.5714,189.9098,13.7808
861,"(12, 6, 6, 12, 6)",10.2857,171.8947,13.1109
862,"(12, 6, 6, 12, 10)",9.7895,159.4436,12.6271
863,"(12, 6, 6, 12, 12)",9.9549,159.9549,12.6473
864,"(12, 6, 10, 3, 3)",12.391,247.985,15.7475
865,"(12, 6, 10, 3, 6)",12.3609,245.1579,15.6575
866,"(12, 6, 10, 3, 10)",12.2707,234.1955,15.3034
867,"(12, 6, 10, 3, 12)",11.6767,216.203,14.7038
868,"(12, 6, 10, 6, 3)",12.3083,246.203,15.6909
869,"(12, 6, 10, 6, 6)",12.0075,242.1579,15.5614
870,"(12, 6, 10, 6, 10)",11.8271,219.9323,14.8301
871,"(12, 6, 10, 6, 12)",11.6617,221.2707,14.8752
872,"(12, 6, 10, 10, 3)",10.7744,186.203,13.6456
873,"(12, 6, 10, 10, 6)",10.8571,191.0677,13.8227
874,"(12, 6, 10, 10, 10)",10.609,180.2932,13.4273
875,"(12, 6, 10, 10, 12)",10.7068,177.2632,13.314
876,"(12, 6, 10, 12, 3)",10.4962,185.5789,13.6227
877,"(12, 6, 10, 12, 6)",10.3759,177.8346,13.3355
878,"(12, 6, 10, 12, 10)",10.1955,164.391,12.8215
879,"(12, 6, 10, 12, 12)",10.1128,161.0301,12.6898
880,"(12, 6, 12, 3, 3)",12.4962,253.5338,15.9227
881,"(12, 6, 12, 3, 6)",11.8571,230.1579,15.171
882,"(12, 6, 12, 3, 10)",11.9173,222.5038,14.9166
883,"(12, 6, 12, 3, 12)",11.6541,208.3459,14.4342
884,"(12, 6, 12, 6, 3)",11.8872,229.782,15.1586
885,"(12, 6, 12, 6, 6)",11.7143,223.0376,14.9344
886,"(12, 6, 12, 6, 10)",11.4211,201.2105,14.1849
887,"(12, 6, 12, 6, 12)",11.5038,210.8421,14.5204
888,"(12, 6, 12, 10, 3)",10.782,187.3233,13.6866
889,"(12, 6, 12, 10, 6)",10.6466,184.6466,13.5885
890,"(12, 6, 12, 10, 10)",10.6617,184.3008,13.5757
891,"(12, 6, 12, 10, 12)",10.9098,185.9774,13.6374
892,"(12, 6, 12, 12, 3)",10.6466,191.6992,13.8455
893,"(12, 6, 12, 12, 6)",10.5263,183.1729,13.5341
894,"(12, 6, 12, 12, 10)",10.0602,164.7519,12.8356
895,"(12, 6, 12, 12, 12)",10.0827,162.3684,12.7424
896,"(12, 10, 3, 3, 3)",12.0752,245.3383,15.6633
897,"(12, 10, 3, 3, 6)",11.3534,226.0752,15.0358
898,"(12, 10, 3, 3, 10)",10.8271,201.0977,14.1809
899,"(12, 10, 3, 3, 12)",10.6165,190.4812,13.8015
900,"(12, 10, 3, 6, 3)",11.797,234.1278,15.3012
901,"(12, 10, 3, 6, 6)",11.4887,222.5564,14.9183
902,"(12, 10, 3, 6, 10)",11.2632,202.5714,14.2328
903,"(12, 10, 3, 6, 12)",11.6617,206.7293,14.3781
904,"(12, 10, 3, 10, 3)",10.8797,195.0902,13.9675
905,"(12, 10, 3, 10, 6)",10.9774,198.8722,14.1022
906,"(12, 10, 3, 10, 10)",10.5188,179.1053,13.383
907,"(12, 10, 3, 10, 12)",10.609,177.5113,13.3233
908,"(12, 10, 3, 12, 3)",10.4887,180.0977,13.4201
909,"(12, 10, 3, 12, 6)",10.1353,170.6316,13.0626
910,"(12, 10, 3, 12, 10)",9.9323,162.3534,12.7418
911,"(12, 10, 3, 12, 12)",9.8947,156.5865,12.5135
912,"(12, 10, 6, 3, 3)",12.4812,263.6992,16.2388
913,"(12, 10, 6, 3, 6)",11.6842,237.0827,15.3975
914,"(12, 10, 6, 3, 10)",11.4361,215.406,14.6767
915,"(12, 10, 6, 3, 12)",11.1729,212.1353,14.5649
916,"(12, 10, 6, 6, 3)",11.8722,229.6466,15.1541
917,"(12, 10, 6, 6, 6)",11.1579,211.0677,14.5282
918,"(12, 10, 6, 6, 10)",11.0376,192.2406,13.8651
919,"(12, 10, 6, 6, 12)",11.5038,199.4737,14.1235
920,"(12, 10, 6, 10, 3)",10.8496,187.797,13.7039
921,"(12, 10, 6, 10, 6)",10.6992,187.7068,13.7006
922,"(12, 10, 6, 10, 10)",10.3083,173.0,13.1529
923,"(12, 10, 6, 10, 12)",10.5188,168.2331,12.9705
924,"(12, 10, 6, 12, 3)",10.3759,175.5188,13.2484
925,"(12, 10, 6, 12, 6)",9.9774,160.0376,12.6506
926,"(12, 10, 6, 12, 10)",9.7293,148.5263,12.1871
927,"(12, 10, 6, 12, 12)",9.8571,154.4135,12.4263
928,"(12, 10, 10, 3, 3)",12.1429,254.2782,15.9461
929,"(12, 10, 10, 3, 6)",11.6842,234.8421,15.3246
930,"(12, 10, 10, 3, 10)",11.218,209.6842,14.4805
931,"(12, 10, 10, 3, 12)",11.2782,205.6692,14.3412
932,"(12, 10, 10, 6, 3)",11.8421,241.9023,15.5532
933,"(12, 10, 10, 6, 6)",11.5865,235.6617,15.3513
934,"(12, 10, 10, 6, 10)",11.5414,217.9925,14.7646
935,"(12, 10, 10, 6, 12)",11.6241,211.5789,14.5458
936,"(12, 10, 10, 10, 3)",10.5865,178.0451,13.3434
937,"(12, 10, 10, 10, 6)",10.5639,176.3083,13.2781
938,"(12, 10, 10, 10, 10)",10.3158,168.2406,12.9708
939,"(12, 10, 10, 10, 12)",10.4662,164.0602,12.8086
940,"(12, 10, 10, 12, 3)",10.1955,171.9699,13.1137
941,"(12, 10, 10, 12, 6)",9.8271,161.1654,12.6951
942,"(12, 10, 10, 12, 10)",9.6992,151.218,12.2971
943,"(12, 10, 10, 12, 12)",9.7143,149.985,12.2468
944,"(12, 10, 12, 3, 3)",11.7744,234.9925,15.3295
945,"(12, 10, 12, 3, 6)",11.5113,221.6015,14.8863
946,"(12, 10, 12, 3, 10)",11.3083,205.4436,14.3333
947,"(12, 10, 12, 3, 12)",11.1504,196.5789,14.0207
948,"(12, 10, 12, 6, 3)",11.812,233.391,15.2771
949,"(12, 10, 12, 6, 6)",11.406,225.391,15.013
950,"(12, 10, 12, 6, 10)",11.2256,203.782,14.2752
951,"(12, 10, 12, 6, 12)",11.188,199.5789,14.1272
952,"(12, 10, 12, 10, 3)",10.812,185.5789,13.6227
953,"(12, 10, 12, 10, 6)",10.6391,185.3308,13.6136
954,"(12, 10, 12, 10, 10)",10.2331,165.7519,12.8745
955,"(12, 10, 12, 10, 12)",10.6165,171.6692,13.1023
956,"(12, 10, 12, 12, 3)",10.5564,183.5789,13.5491
957,"(12, 10, 12, 12, 6)",10.1504,169.5188,13.0199
958,"(12, 10, 12, 12, 10)",9.9774,156.218,12.4987
959,"(12, 10, 12, 12, 12)",10.1053,161.5789,12.7114
960,"(12, 12, 3, 3, 3)",12.1504,247.4286,15.7299
961,"(12, 12, 3, 3, 6)",11.2707,225.5263,15.0175
962,"(12, 12, 3, 3, 10)",11.0075,202.391,14.2264
963,"(12, 12, 3, 3, 12)",10.5038,185.0,13.6015
964,"(12, 12, 3, 6, 3)",11.6391,220.3008,14.8425
965,"(12, 12, 3, 6, 6)",11.1805,207.3308,14.399
966,"(12, 12, 3, 6, 10)",10.9323,194.3008,13.9392
967,"(12, 12, 3, 6, 12)",11.0226,191.985,13.8559
968,"(12, 12, 3, 10, 3)",10.3233,181.6917,13.4793
969,"(12, 12, 3, 10, 6)",10.6015,188.4812,13.7288
970,"(12, 12, 3, 10, 10)",10.015,165.5789,12.8677
971,"(12, 12, 3, 10, 12)",10.3158,173.7594,13.1818
972,"(12, 12, 3, 12, 3)",10.1353,174.3008,13.2023
973,"(12, 12, 3, 12, 6)",10.0451,167.7895,12.9534
974,"(12, 12, 3, 12, 10)",9.797,155.015,12.4505
975,"(12, 12, 3, 12, 12)",9.7895,152.8571,12.3635
976,"(12, 12, 6, 3, 3)",12.1579,250.8195,15.8373
977,"(12, 12, 6, 3, 6)",11.4361,232.0376,15.2328
978,"(12, 12, 6, 3, 10)",10.8797,196.6842,14.0244
979,"(12, 12, 6, 3, 12)",10.9549,200.1429,14.1472
980,"(12, 12, 6, 6, 3)",11.6466,222.3684,14.912
981,"(12, 12, 6, 6, 6)",11.3684,212.9474,14.5927
982,"(12, 12, 6, 6, 10)",10.8271,182.9774,13.5269
983,"(12, 12, 6, 6, 12)",11.0075,184.9173,13.5984
984,"(12, 12, 6, 10, 3)",10.7293,186.8496,13.6693
985,"(12, 12, 6, 10, 6)",10.3684,173.391,13.1678
986,"(12, 12, 6, 10, 10)",9.9323,163.5865,12.7901
987,"(12, 12, 6, 10, 12)",10.188,164.1729,12.813
988,"(12, 12, 6, 12, 3)",10.1579,177.4211,13.3199
989,"(12, 12, 6, 12, 6)",9.8647,159.188,12.617
990,"(12, 12, 6, 12, 10)",9.5113,147.8872,12.1609
991,"(12, 12, 6, 12, 12)",9.7744,149.8045,12.2395
992,"(12, 12, 10, 3, 3)",11.985,245.6992,15.6748
993,"(12, 12, 10, 3, 6)",11.9398,237.2782,15.4038
994,"(12, 12, 10, 3, 10)",11.5865,207.2707,14.3969
995,"(12, 12, 10, 3, 12)",11.1429,201.0677,14.1798
996,"(12, 12, 10, 6, 3)",11.5263,226.9098,15.0635
997,"(12, 12, 10, 6, 6)",11.5263,223.0902,14.9362
998,"(12, 12, 10, 6, 10)",11.1729,197.8947,14.0675
999,"(12, 12, 10, 6, 12)",11.406,200.9699,14.1764
1000,"(12, 12, 10, 10, 3)",10.3759,171.6241,13.1005
1001,"(12, 12, 10, 10, 6)",10.3383,172.3684,13.1289
1002,"(12, 12, 10, 10, 10)",10.0977,164.2481,12.8159
1003,"(12, 12, 10, 10, 12)",10.3233,162.985,12.7666
1004,"(12, 12, 10, 12, 3)",10.1654,169.7444,13.0286
1005,"(12, 12, 10, 12, 6)",9.8571,158.5038,12.5898
1006,"(12, 12, 10, 12, 10)",9.6917,146.0827,12.0865
1007,"(12, 12, 10, 12, 12)",9.6316,147.4361,12.1423
1008,"(12, 12, 12, 3, 3)",11.8271,237.7669,15.4197
1009,"(12, 12, 12, 3, 6)",11.2782,217.6541,14.7531
1010,"(12, 12, 12, 3, 10)",11.1654,197.1053,14.0394
1011,"(12, 12, 12, 3, 12)",11.188,200.8872,14.1735
1012,"(12, 12, 12, 6, 3)",11.188,213.6391,14.6164
1013,"(12, 12, 12, 6, 6)",11.2782,213.3985,14.6082
1014,"(12, 12, 12, 6, 10)",10.7444,179.4812,13.3971
1015,"(12, 12, 12, 6, 12)",11.2632,194.9624,13.9629
1016,"(12, 12, 12, 10, 3)",10.6466,184.7519,13.5923
1017,"(12, 12, 12, 10, 6)",10.5489,180.0827,13.4195
1018,"(12, 12, 12, 10, 10)",10.2556,168.8571,12.9945
1019,"(12, 12, 12, 10, 12)",10.4737,169.0,13.0
1020,"(12, 12, 12, 12, 3)",10.0075,168.7744,12.9913
1021,"(12, 12, 12, 12, 6)",9.9549,165.6992,12.8724
1022,"(12, 12, 12, 12, 10)",9.6767,148.4135,12.1825
1023,"(12, 12, 12, 12, 12)",9.7368,150.0977,12.2514
